"soldasvacant","total_property_count","percentage_prop","avg_saleprice","min_saleprice","max_saleprice","totalsale"
"No","50498","92.2","316126.5","50.0","54278060.0","15963755461.0"
"Yes","4249","7.8","299510.2","500.0","5200000.0","1272618676.0"
